CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
Anarchists Prime,SHA-256,True,PoW,,
Droidz,QUAIT,True,PoW/PoS,,
BowsCoin,X11,True,PoW,,
DarkTron,SHA-256,True,PoW/PoS,,
CryptoCircuits,vDPOS,True,PoS,,
IncaKoin,SHA-256,True,PoW/PoS,,
Versa Token,N/A,True,PoS,,
Empyrean,Scrypt,True,PoW,,
Squall Coin,X11,True,PoS/PoW,,
Piggy Coin,X11,True,PoW/PoS,,
Charity Coin,Scrypt,True,PoW,,
Crown Coin,Multiple,True,PoS,0.0,0.0
PharmaCoin,N/A,True,N/A,,
GridMaster,N/A,True,N/A,,
Quartz,SHA-256,True,PoW/PoS,0.0,0.0
Arbit Coin,SHA-256,True,PoW/PoS,,
Litestar Coin,X11,True,PoW/PoS,,
SpinCoin,NIST5,True,PoW/PoS,,
GoldPieces,X11,True,PoW/PoS,,
Bitz Coin,N/A,True,PoS,,
DubCoin,X15,True,PoW/PoS,,
Graviton,SHA-256,True,PoW/PoS,,
Bob's Repair,N/A,True,N/A,,
MonetaVerde,CryptoNight,False,PoW,,
Quazar Coin,CryptoNight,True,PoW,,
Hedgecoin,X13,True,PoW,0.0,0.0
Song Coin,Scrypt,True,PoW,,
BitSeeds,SHA-256,True,PoW/PoS,,
Axiom Coin,N/A,True,PoW/PoS,,
SmileyCoin,Scrypt,True,PoW,,
Rimbit,N/A,True,N/A,,
Chip,X11,True,PoW,,
SpecCoin,Scrypt,True,PoW,,
UnCoin,X11,True,N/A,,
Sprouts,SHA-256,True,PoW/PoS,,
BitZeny,Scrypt,True,PoW,,
BitQuark,Multiple,True,PoW,,
ParkByte,SHA-256,True,PoW/PoS,,
Synergy,X11,True,PoW/PoS,,
Ghoul Coin,N/A,True,PoW/PoS,,
Hellenic Coin,Scrypt,True,PoW/PoS,,
Diggits,Scrypt,True,PoS,,
Global Currency Reserve,PoS,True,PoS,,
MapCoin,X11,True,PoS,,
XiaoMiCoin,Scrypt,True,PoW/PoS,,
Transfer,X11,True,PoW/PoS,,
LyraBar,Lyra2RE,True,PoW/PoS,,
Prime-X1,X11,True,PoW,,
Amsterdam Coin,Quark,True,PoW/PoS,,
Obits Coin,N/A,True,N/A,,
